Common_Name,Symbol,Scientific_Name_x,Scientific_Name_y,Species,Category,Family,Family_Common_Name,xOrder,SubClass,Class,SubDivision,Division,SuperDivision,SubKingdom,Kingdom,Duration,Growth_Habit,Growth_Rate,Height_Mature_feet,Lifespan,Toxicity,Temperature_Minimum_F,Bloom_Period,Fruit_Seed_Period_Begin,Fruit_Seed_Period_End,Fruit_Seed_Abundance
Lemmon's needlegrass,ACLEL,Achnatherum lemmonii (Vasey) Barkworth var. lemmonii,Achnatherum lemmonii var. lemmonii,lemmonii,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,3.0,Moderate,None,-28,Summer,Summer,Fall,Low
Sydney golden wattle,ACLO,Acacia longifolia (Andrews) Willd.,Acacia longifolia,longifolia,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Rapid,20,Short,None,14,Summer,Summer,Fall,High
blackwood,ACME,Acacia melanoxylon R. Br.,Acacia melanoxylon,melanoxylon,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,40,Short,None,14,Early Spring,Summer,Fall,High
common yarrow,ACMI2,Achillea millefolium L.,Achillea millefolium,millefolium,Dicot,Asteraceae,Aster family,Asterales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,3.0,Moderate,Slight,-38,Early Summer,Summer,Summer,Medium
western yarrow,ACMIO,Achillea millefolium L. var. occidentalis DC.,Achillea millefolium var. occidentalis,millefolium,Dicot,Asteraceae,Aster family,Asterales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,3.0,Moderate,Slight,-38,Late Spring,Summer,Fall,Medium
boxelder,ACNE2,Acer negundo L.,Acer negundo,negundo,Dicot,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,60,Short,None,-46,Early Spring,Summer,Fall,High
Dore's needlegrass,ACNED,Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth,Achnatherum nelsonii ssp. dorei,nelsonii,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.0,Short,None,-28,Early Summer,Summer,Summer,Medium
western needlegrass,ACOCO,Achnatherum occidentale (Thurb.) Barkworth ssp. occidentale,Achnatherum occidentale ssp. occidentale,occidentale,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.0,Moderate,None,-28,Late Spring,Summer,Summer,Medium
sycamore maple,ACPS,Acer pseudoplatanus L.,Acer pseudoplatanus,pseudoplatanus,Dicot,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Moderate,70,Moderate,None,-23,Late Spring,Spring,Summer,High
red maple,ACRU,Acer rubrum L.,Acer rubrum,rubrum,Dicot,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,68,Short,Slight,-47,Early Spring,Spring,Spring,High
silver maple,ACSA2,Acer saccharinum L.,Acer saccharinum,saccharinum,Dicot,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,90,Moderate,None,-47,Early Spring,Summer,Fall,High
desert needlegrass,ACSP12,Achnatherum speciosum (Trin. & Rupr.) Barkworth,Achnatherum speciosum,speciosum,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.0,Moderate,None,-13,Late Spring,Summer,Summer,Medium
mountain maple,ACSP2,Acer spicatum Lam.,Acer spicatum,spicatum,Dicot,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Moderate,25,Moderate,None,-47,Spring,Summer,Fall,High
Thurber's needlegrass,ACTH7,Achnatherum thurberianum (Piper) Barkworth,Achnatherum thurberianum,thurberianum,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.0,Moderate,None,-23,Mid Spring,Spring,Summer,Medium
Virginia threeseed mercury,ACVI,Acalypha virginica L.,Acalypha virginica,virginica,Dicot,Euphorbiaceae,Spurge family,Euphorbiales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Annual,Forb/herb,Rapid,3.0,,None,33,Early Summer,Summer,Fall,High
chamise,ADFA,Adenostoma fasciculatum Hook. & Arn.,Adenostoma fasciculatum,fasciculatum,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Shrub,,10,Moderate,None,32,Mid Spring,Summer,Fall,Medium
red buckeye,AEPA,Aesculus pavia L.,Aesculus pavia,pavia,Dicot,Hippocastanaceae,Horse-chestnut family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Moderate,25,Long,Severe,-20,Late Spring,Summer,Fall,Medium
orange agoseris,AGAU2,Agoseris aurantiaca (Hook.) Greene,Agoseris aurantiaca,aurantiaca,Dicot,Asteraceae,Aster family,Asterales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Subshrub, Forb/herb",Rapid,1.0,Short,,-33,Mid Spring,Summer,Fall,High
velvet bentgrass,AGCA4,Agrostis canina L.,Agrostis canina,canina,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,1.5,Moderate,None,-33,Mid Spring,Summer,Summer,Medium
colonial bentgrass,AGCA5,Agrostis capillaris L.,Agrostis capillaris,capillaris,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Rapid,2.0,Short,None,-53,Mid Summer,Summer,Summer,High
desert wheatgrass,AGDE2,Agropyron desertorum (Fisch. ex Link) Schult.,Agropyron desertorum,desertorum,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.0,Long,None,-43,Early Spring,Spring,Spring,High
spike bentgrass,AGEX,Agrostis exarata Trin.,Agrostis exarata,exarata,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.0,Moderate,None,-38,Late Spring,Summer,Summer,Low
Siberian wheatgrass,AGFR,Agropyron fragile (Roth) P. Candargy,Agropyron fragile,fragile,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Rapid,3.0,Long,None,-43,Mid Spring,Summer,Summer,High
redtop,AGGI2,Agrostis gigantea Roth,Agrostis gigantea,gigantea,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Rapid,2.0,Short,None,-38,Mid Spring,Summer,Summer,High
pale agoseris,AGGL,Agoseris glauca (Pursh) Raf.,Agoseris glauca,glauca,Dicot,Asteraceae,Aster family,Asterales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Forb/herb, Shrub, Subshrub",Rapid,1.0,Short,None,-33,Mid Spring,Summer,Fall,High
bigflower agoseris,AGGR,Agoseris grandiflora (Nutt.) Greene,Agoseris grandiflora,grandiflora,Dicot,Asteraceae,Aster family,Asterales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,1.8,Short,None,-13,Spring,Summer,Summer,Medium
winter bentgrass,AGHY,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",Agrostis hyemalis,hyemalis,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.5,Short,None,-33,Mid Spring,Summer,Fall,Low
Idaho bentgrass,AGID,Agrostis idahoensis Nash,Agrostis idahoensis,idahoensis,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,1.4,Moderate,None,-38,Late Spring,Summer,Summer,Low
smallleaf giant hyssop,AGPA2,Agastache parvifolia Eastw.,Agastache parvifolia,parvifolia,Dicot,Lamiaceae,Mint family,Lamiales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Subshrub, Forb/herb",Moderate,2.0,Moderate,None,-23,Late Spring,Summer,Summer,Low
harvestlice,AGPA6,Agrimonia parviflora Aiton,Agrimonia parviflora,parviflora,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Rapid,6.0,Short,None,-33,Mid Summer,Summer,Fall,Medium
seashore bentgrass,AGPA8,Agrostis pallens Trin.,Agrostis pallens,pallens,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.0,Short,None,-23,Mid Spring,Summer,Summer,Low
upland bentgrass,AGPE,Agrostis perennans (Walter) Tuck.,Agrostis perennans,perennans,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.5,Short,None,-33,Mid Summer,Summer,Fall,Low
rough bentgrass,AGSC5,Agrostis scabra Willd.,Agrostis scabra,scabra,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.5,Moderate,None,-38,Early Spring,Summer,Summer,Low
roadside agrimony,AGST,Agrimonia striata Michx.,Agrimonia striata,striata,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,6.0,Short,None,-43,Mid Summer,Summer,Fall,Low
creeping bentgrass,AGST2,Agrostis stolonifera L.,Agrostis stolonifera,stolonifera,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Rapid,2.0,Short,None,-53,Mid Summer,Summer,Summer,Medium
nettleleaf giant hyssop,AGUR,Agastache urticifolia (Benth.) Kuntze,Agastache urticifolia,urticifolia,Dicot,Lamiaceae,Mint family,Lamiales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Subshrub, Forb/herb",Rapid,5.0,Long,None,-33,Late Spring,Summer,Summer,Low
Utah agave,AGUT,Agave utahensis Engelm.,Agave utahensis,utahensis,Monocot,Agavaceae,Century-plant family,Liliales,Liliidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Subshrub, Shrub, Forb/herb",Moderate,1.0,Moderate,None,-23,Mid Spring,Summer,Fall,High
tree of heaven,AIAL,Ailanthus altissima (Mill.) Swingle,Ailanthus altissima,altissima,Dicot,Simaroubaceae,Quassia family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,55,Short,Moderate,-18,Late Spring,Summer,Fall,High
common bugle,AJRE,Ajuga reptans L.,Ajuga reptans,reptans,Dicot,Lamiaceae,Mint family,Lamiales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Rapid,0.3,Moderate,None,-23,Mid Summer,,,
tapertip onion,ALAC4,Allium acuminatum Hook.,Allium acuminatum,acuminatum,Monocot,Liliaceae,Lily family,Liliales,Liliidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Rapid,1.0,Short,None,-28,Summer,Summer,Fall,High
shortawn foxtail,ALAE,Alopecurus aequalis Sobol.,Alopecurus aequalis,aequalis,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.5,Short,None,-38,Mid Spring,Spring,Summer,Medium
creeping meadow foxtail,ALAR,Alopecurus arundinaceus Poir.,Alopecurus arundinaceus,arundinaceus,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Rapid,3.0,Moderate,None,-43,Mid Spring,Spring,Summer,Medium
Douglas' onion,ALDO,Allium douglasii Hook.,Allium douglasii,douglasii,Monocot,Liliaceae,Lily family,Liliales,Liliidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Rapid,0.9,Short,None,-28,Late Spring,Spring,Summer,Low
narrowleaf water plantain,ALGR,Alisma gramineum Lej.,Alisma gramineum,gramineum,Monocot,Alismataceae,Water-plantain family,Alismatales,Alismatidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,1.5,Short,None,-43,Mid Summer,Summer,Summer,Low
gray alder,ALIN2,Alnus incana (L.) Moench,Alnus incana,incana,Dicot,Betulaceae,Birch family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Rapid,25,Short,None,-33,Spring,Spring,Summer,Low
speckled alder,ALINR,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,Alnus incana ssp. rugosa,incana,Dicot,Betulaceae,Birch family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Moderate,16,Long,None,-47,Early Spring,Spring,Fall,Low
silktree,ALJU,Albizia julibrissin Durazz.,Albizia julibrissin,julibrissin,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Rapid,20,Short,None,2,Mid Summer,Summer,Fall,High
seaside alder,ALMA7,Alnus maritima (Marshall) Muhl. ex Nutt.,Alnus maritima,maritima,Dicot,Betulaceae,Birch family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Moderate,30,Moderate,None,2,Late Summer,Summer,Fall,Low
European water plantain,ALPL,Alisma plantago-aquatica L.,Alisma plantago-aquatica,plantago-aquatica,Monocot,Alismataceae,Water-plantain family,Alismatales,Alismatidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,3.0,Moderate,None,-33,Fall,Spring,Fall,Medium
meadow foxtail,ALPR3,Alopecurus pratensis L.,Alopecurus pratensis,pratensis,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Rapid,3.0,Long,None,-38,Spring,Spring,Summer,High
white alder,ALRH2,Alnus rhombifolia Nutt.,Alnus rhombifolia,rhombifolia,Dicot,Betulaceae,Birch family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,65,Long,None,-24,Fall,Summer,Summer,High
red alder,ALRU2,Alnus rubra Bong.,Alnus rubra,rubra,Dicot,Betulaceae,Birch family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,90,Short,None,-22,Early Spring,Fall,Spring,High
hazel alder,ALSE2,Alnus serrulata (Aiton) Willd.,Alnus serrulata,serrulata,Dicot,Betulaceae,Birch family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Rapid,30,Moderate,None,-23,Spring,Summer,Summer,Low
textile onion,ALTE,Allium textile A. Nelson & J.F. Macbr.,Allium textile,textile,Monocot,Liliaceae,Lily family,Liliales,Liliidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Rapid,1.0,Short,None,-38,Mid Spring,Spring,Summer,Low
Tolmie's onion,ALTO,Allium tolmiei (Hook.) Baker ex S. Watson,Allium tolmiei,tolmiei,Monocot,Liliaceae,Lily family,Liliales,Liliidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Rapid,1.0,Short,None,-33,Early Spring,Spring,Summer,Low
Sitka alder,ALVIS,Alnus viridis (Chaix) DC. ssp. sinuata (Regel) Á. Löve & D. Löve,Alnus viridis ssp. sinuata,viridis,Dicot,Betulaceae,Birch family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Slow,16,Long,None,-48,Summer,Summer,Fall,High
European beachgrass,AMAR4,Ammophila arenaria (L.) Link,Ammophila arenaria,arenaria,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.0,Moderate,None,7,Spring,Spring,Summer,Low
American beachgrass,AMBR,Ammophila breviligulata Fernald,Ammophila breviligulata,breviligulata,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Rapid,2.5,Moderate,None,-28,Spring,Summer,Summer,None
leadplant,AMCA6,Amorpha canescens Pursh,Amorpha canescens,canescens,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Subshrub, Shrub",Moderate,4.0,Long,None,-38,Early Summer,Summer,Fall,Low
heartleaf peppervine,AMCO2,Ampelopsis cordata Michx.,Ampelopsis cordata,cordata,Dicot,Vitaceae,Grape family,Rhamnales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Vine,Moderate,2.0,Moderate,None,-8,Late Spring,Spring,Summer,Medium
burrobush,AMDU2,Ambrosia dumosa (A. Gray) Payne,Ambrosia dumosa,dumosa,Dicot,Asteraceae,Aster family,Asterales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Subshrub, Shrub",Rapid,2.0,Short,None,-11,Late Winter,Summer,Fall,High
false indigo bush,AMFR,Amorpha fruticosa L.,Amorpha fruticosa,fruticosa,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Shrub,Slow,15,Moderate,Slight,-38,Late Spring,Summer,Fall,High
mountain false indigo,AMGL2,Amorpha glabra Desf. ex Poir.,Amorpha glabra,glabra,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Shrub,Moderate,16,Long,Slight,-3,Mid Spring,Summer,Fall,Medium
Allegheny serviceberry,AMLA,Amelanchier laevis Wiegand,Amelanchier laevis,laevis,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Moderate,35,Short,None,-38,Early Spring,Spring,Summer,High
tarweed fiddleneck,AMLY,Amsinckia lycopsoides Lehm.,Amsinckia lycopsoides,lycopsoides,Dicot,Boraginaceae,Borage family,Lamiales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Annual,Forb/herb,Moderate,3.0,,Severe,-28,Late Spring,Spring,Summer,Low
big bluestem,ANGE,Andropogon gerardii Vitman,Andropogon gerardii,gerardii,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,6.0,Long,None,-46,Summer,Summer,Fall,Medium
bushy bluestem,ANGL2,"Andropogon glomeratus (Walter) Britton, Sterns & Poggenb.",Andropogon glomeratus,glomeratus,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,6.3,Moderate,None,-23,Late Summer,Fall,Winter,High
sand bluestem,ANHA,Andropogon hallii Hack.,Andropogon hallii,hallii,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,6.1,Moderate,None,-38,Mid Summer,Fall,Fall,Medium
